Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J5,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,140,-66.075,180,bottom
J6,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,140,-91.475,180,bottom
J7,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,155.24,-66.075,180,bottom
J8,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,155.24,-91.475,180,bottom
C1,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.95,-56.9,0,top
C2,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.9,-60.4,90,top
J1,Conn_01x10_Socket,PinHeader_1x10_P2.54mm_Vertical,120.7,-66.075,0,top
J2,Conn_01x10_Socket,PinHeader_1x10_P2.54mm_Vertical,120.7,-91.475,0,top
J3,Conn_01x10_Socket,PinHeader_1x10_P2.54mm_Vertical,175.4,-91.475,0,top
J4,Conn_01x10_Socket,PinHeader_1x10_P2.54mm_Vertical,175.4,-66.075,0,top
J9,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,147.85,-49.7,180,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.15,-73.6,90,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.1,-84.1,90,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.1,-93.9,90,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.1,-104.2,90,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.05,-113.95,90,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.5,-114.5,0,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.6,-104.4,0,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.65,-95.05,0,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.75,-85.3,0,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.95,-74.55,0,top
R11,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149,-55.95,-90,top
R12,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.8,-55.95,-90,top
U1,~,NXB0104_XQFN12,129.77435,-71.0962,0,top
U2,~,NXB0104_XQFN12,129.67435,-81.6962,0,top
U3,~,NXB0104_XQFN12,129.72435,-91.3462,0,top
U4,~,NXB0104_XQFN12,129.7436,-101.6652,0,top
U5,~,NXB0104_XQFN12,129.67435,-111.6962,0,top
U6,~,NXB0104_XQFN12,165.5778,-70.909,0,top
U7,~,NXB0104_XQFN12,165.32435,-82.1462,0,top
U8,~,NXB0104_XQFN12,165.27435,-91.9962,0,top
U9,~,NXB0104_XQFN12,165.22435,-101.6462,0,top
U10,~,NXB0104_XQFN12,165.1,-112.3,0,top
U11,TLV75533PDBV,SOT-23-5,147.9,-60.5125,180,top
